
1 threadCount:
C: 54.00%, D: 46.00% | Est. Population: 512
C: 55.44%, D: 44.56% | Est. Population: 512
C: 56.36%, D: 43.64% | Est. Population: 512
C: 57.52%, D: 42.48% | Est. Population: 512
C: 57.92%, D: 42.08% | Est. Population: 512
C: 59.16%, D: 40.84% | Est. Population: 512
C: 60.36%, D: 39.64% | Est. Population: 512
C: 61.28%, D: 38.72% | Est. Population: 512
C: 61.64%, D: 38.36% | Est. Population: 512
C: 61.52%, D: 38.48% | Est. Population: 512
C: 61.72%, D: 38.28% | Est. Population: 512
C: 61.56%, D: 38.44% | Est. Population: 512
C: 61.80%, D: 38.20% | Est. Population: 512
C: 62.68%, D: 37.32% | Est. Population: 512
C: 62.68%, D: 37.32% | Est. Population: 512
C: 63.04%, D: 36.96% | Est. Population: 512
C: 63.16%, D: 36.84% | Est. Population: 512
C: 62.92%, D: 37.08% | Est. Population: 512
C: 62.76%, D: 37.24% | Est. Population: 512
C: 63.12%, D: 36.88% | Est. Population: 512
C: 63.36%, D: 36.64% | Est. Population: 512
C: 63.48%, D: 36.52% | Est. Population: 512
C: 63.60%, D: 36.40% | Est. Population: 512
C: 63.68%, D: 36.32% | Est. Population: 512
C: 63.36%, D: 36.64% | Est. Population: 512
C: 63.60%, D: 36.40% | Est. Population: 512
C: 63.24%, D: 36.76% | Est. Population: 512
C: 63.08%, D: 36.92% | Est. Population: 512
C: 62.96%, D: 37.04% | Est. Population: 512
C: 63.20%, D: 36.80% | Est. Population: 512
C: 63.84%, D: 36.16% | Est. Population: 512
C: 63.92%, D: 36.08% | Est. Population: 512
C: 64.60%, D: 35.40% | Est. Population: 512
C: 64.32%, D: 35.68% | Est. Population: 512
C: 64.80%, D: 35.20% | Est. Population: 512
C: 64.72%, D: 35.28% | Est. Population: 512
C: 64.32%, D: 35.68% | Est. Population: 512
C: 64.44%, D: 35.56% | Est. Population: 512
C: 64.04%, D: 35.96% | Est. Population: 512
C: 63.68%, D: 36.32% | Est. Population: 512
C: 63.72%, D: 36.28% | Est. Population: 512
C: 63.68%, D: 36.32% | Est. Population: 512
C: 64.16%, D: 35.84% | Est. Population: 512
C: 64.32%, D: 35.68% | Est. Population: 512
C: 64.48%, D: 35.52% | Est. Population: 512
C: 64.24%, D: 35.76% | Est. Population: 512
C: 64.44%, D: 35.56% | Est. Population: 512
C: 64.80%, D: 35.20% | Est. Population: 512
C: 64.84%, D: 35.16% | Est. Population: 512
C: 64.92%, D: 35.08% | Est. Population: 512
C: 64.32%, D: 35.68% | Est. Population: 512
C: 64.08%, D: 35.92% | Est. Population: 512
C: 64.04%, D: 35.96% | Est. Population: 512
C: 63.76%, D: 36.24% | Est. Population: 512
C: 63.36%, D: 36.64% | Est. Population: 512
C: 63.60%, D: 36.40% | Est. Population: 512
C: 63.76%, D: 36.24% | Est. Population: 512
C: 63.84%, D: 36.16% | Est. Population: 512
C: 63.92%, D: 36.08% | Est. Population: 512
C: 64.44%, D: 35.56% | Est. Population: 512
C: 64.00%, D: 36.00% | Est. Population: 512
C: 63.56%, D: 36.44% | Est. Population: 512
C: 63.64%, D: 36.36% | Est. Population: 512
C: 63.92%, D: 36.08% | Est. Population: 512
C: 63.60%, D: 36.40% | Est. Population: 512
C: 63.72%, D: 36.28% | Est. Population: 512
C: 63.60%, D: 36.40% | Est. Population: 512
C: 63.76%, D: 36.24% | Est. Population: 512
C: 63.88%, D: 36.12% | Est. Population: 512
C: 64.12%, D: 35.88% | Est. Population: 512
C: 64.08%, D: 35.92% | Est. Population: 512
C: 63.96%, D: 36.04% | Est. Population: 512
C: 63.68%, D: 36.32% | Est. Population: 512
C: 63.80%, D: 36.20% | Est. Population: 512
C: 64.20%, D: 35.80% | Est. Population: 512
C: 64.44%, D: 35.56% | Est. Population: 512
C: 64.68%, D: 35.32% | Est. Population: 512
C: 64.84%, D: 35.16% | Est. Population: 512
C: 64.60%, D: 35.40% | Est. Population: 512
C: 64.44%, D: 35.56% | Est. Population: 512
C: 64.12%, D: 35.88% | Est. Population: 512
C: 64.24%, D: 35.76% | Est. Population: 512
C: 64.48%, D: 35.52% | Est. Population: 512
C: 64.20%, D: 35.80% | Est. Population: 512
C: 63.88%, D: 36.12% | Est. Population: 512
C: 64.12%, D: 35.88% | Est. Population: 512
C: 64.84%, D: 35.16% | Est. Population: 512
C: 65.00%, D: 35.00% | Est. Population: 512
C: 64.44%, D: 35.56% | Est. Population: 512
C: 64.40%, D: 35.60% | Est. Population: 512
C: 64.44%, D: 35.56% | Est. Population: 512
C: 64.48%, D: 35.52% | Est. Population: 512
C: 64.16%, D: 35.84% | Est. Population: 512
C: 64.52%, D: 35.48% | Est. Population: 512
C: 64.76%, D: 35.24% | Est. Population: 512
C: 65.44%, D: 34.56% | Est. Population: 512
C: 65.20%, D: 34.80% | Est. Population: 512
C: 65.36%, D: 34.64% | Est. Population: 512
C: 65.56%, D: 34.44% | Est. Population: 512
C: 65.72%, D: 34.28% | Est. Population: 512

2 threadCount:
C: 54.08%, D: 45.92% | Est. Population: 1024
C: 55.20%, D: 44.80% | Est. Population: 1024
C: 56.20%, D: 43.80% | Est. Population: 1024
C: 55.88%, D: 44.12% | Est. Population: 1024
C: 57.44%, D: 42.56% | Est. Population: 1024
C: 58.12%, D: 41.88% | Est. Population: 1024
C: 59.12%, D: 40.88% | Est. Population: 1024
C: 59.52%, D: 40.48% | Est. Population: 1024
C: 59.36%, D: 40.64% | Est. Population: 1024
C: 60.04%, D: 39.96% | Est. Population: 1024
C: 60.00%, D: 40.00% | Est. Population: 1024
C: 60.44%, D: 39.56% | Est. Population: 1024
C: 61.20%, D: 38.80% | Est. Population: 1024
C: 61.24%, D: 38.76% | Est. Population: 1024
C: 62.04%, D: 37.96% | Est. Population: 1024
C: 62.16%, D: 37.84% | Est. Population: 1024
C: 62.88%, D: 37.12% | Est. Population: 1024
C: 62.88%, D: 37.12% | Est. Population: 1024
C: 63.56%, D: 36.44% | Est. Population: 1024
C: 63.56%, D: 36.44% | Est. Population: 1024
C: 64.16%, D: 35.84% | Est. Population: 1024
C: 64.16%, D: 35.84% | Est. Population: 1024
C: 64.08%, D: 35.92% | Est. Population: 1024
C: 64.12%, D: 35.88% | Est. Population: 1024
C: 64.16%, D: 35.84% | Est. Population: 1024
C: 64.16%, D: 35.84% | Est. Population: 1024
C: 64.12%, D: 35.88% | Est. Population: 1024
C: 64.68%, D: 35.32% | Est. Population: 1024
C: 64.00%, D: 36.00% | Est. Population: 1024
C: 64.40%, D: 35.60% | Est. Population: 1024
C: 64.40%, D: 35.60% | Est. Population: 1024
C: 64.68%, D: 35.32% | Est. Population: 1024
C: 64.68%, D: 35.32% | Est. Population: 1024
C: 63.84%, D: 36.16% | Est. Population: 1024
C: 63.84%, D: 36.16% | Est. Population: 1024
C: 64.36%, D: 35.64% | Est. Population: 1024
C: 64.36%, D: 35.64% | Est. Population: 1024
C: 63.72%, D: 36.28% | Est. Population: 1024
C: 63.72%, D: 36.28% | Est. Population: 1024
C: 63.84%, D: 36.16% | Est. Population: 1024
C: 63.84%, D: 36.16% | Est. Population: 1024
C: 64.04%, D: 35.96% | Est. Population: 1024
C: 64.04%, D: 35.96% | Est. Population: 1024
C: 62.76%, D: 37.24% | Est. Population: 1024
C: 62.68%, D: 37.32% | Est. Population: 1024
C: 62.88%, D: 37.12% | Est. Population: 1024
C: 62.88%, D: 37.12% | Est. Population: 1024
C: 63.32%, D: 36.68% | Est. Population: 1024
C: 63.32%, D: 36.68% | Est. Population: 1024
C: 63.88%, D: 36.12% | Est. Population: 1024
C: 63.88%, D: 36.12% | Est. Population: 1024
C: 63.96%, D: 36.04% | Est. Population: 1024
C: 64.08%, D: 35.92% | Est. Population: 1024
C: 63.92%, D: 36.08% | Est. Population: 1024
C: 64.04%, D: 35.96% | Est. Population: 1024
C: 64.08%, D: 35.92% | Est. Population: 1024
C: 63.88%, D: 36.12% | Est. Population: 1024
C: 63.96%, D: 36.04% | Est. Population: 1024
C: 64.12%, D: 35.88% | Est. Population: 1024
C: 64.56%, D: 35.44% | Est. Population: 1024
C: 64.60%, D: 35.40% | Est. Population: 1024
C: 64.40%, D: 35.60% | Est. Population: 1024
C: 64.40%, D: 35.60% | Est. Population: 1024
C: 65.44%, D: 34.56% | Est. Population: 1024
C: 65.24%, D: 34.76% | Est. Population: 1024
C: 65.28%, D: 34.72% | Est. Population: 1024
C: 64.88%, D: 35.12% | Est. Population: 1024
C: 64.88%, D: 35.12% | Est. Population: 1024
C: 64.92%, D: 35.08% | Est. Population: 1024
C: 64.92%, D: 35.08% | Est. Population: 1024
C: 65.12%, D: 34.88% | Est. Population: 1024
C: 65.16%, D: 34.84% | Est. Population: 1024
C: 65.44%, D: 34.56% | Est. Population: 1024
C: 65.56%, D: 34.44% | Est. Population: 1024
C: 65.56%, D: 34.44% | Est. Population: 1024
C: 65.68%, D: 34.32% | Est. Population: 1024
C: 65.52%, D: 34.48% | Est. Population: 1024
C: 65.40%, D: 34.60% | Est. Population: 1024
C: 65.36%, D: 34.64% | Est. Population: 1024
C: 64.96%, D: 35.04% | Est. Population: 1024
C: 64.96%, D: 35.04% | Est. Population: 1024
C: 64.88%, D: 35.12% | Est. Population: 1024
C: 65.24%, D: 34.76% | Est. Population: 1024
C: 65.08%, D: 34.92% | Est. Population: 1024
C: 64.96%, D: 35.04% | Est. Population: 1024
C: 64.96%, D: 35.04% | Est. Population: 1024
C: 64.88%, D: 35.12% | Est. Population: 1024
C: 64.88%, D: 35.12% | Est. Population: 1024
C: 64.68%, D: 35.32% | Est. Population: 1024
C: 64.68%, D: 35.32% | Est. Population: 1024
C: 64.64%, D: 35.36% | Est. Population: 1024
C: 64.56%, D: 35.44% | Est. Population: 1024
C: 64.20%, D: 35.80% | Est. Population: 1024
C: 64.64%, D: 35.36% | Est. Population: 1024
C: 64.44%, D: 35.56% | Est. Population: 1024
C: 64.76%, D: 35.24% | Est. Population: 1024
C: 64.76%, D: 35.24% | Est. Population: 1024
C: 64.88%, D: 35.12% | Est. Population: 1024
C: 64.60%, D: 35.40% | Est. Population: 1024
C: 65.00%, D: 35.00% | Est. Population: 1024

4 threadCount:
C: 53.96%, D: 46.04% | Est. Population: 1024
C: 55.12%, D: 44.88% | Est. Population: 1024
C: 56.08%, D: 43.92% | Est. Population: 1024
C: 56.08%, D: 43.92% | Est. Population: 1024
C: 57.36%, D: 42.64% | Est. Population: 1024
C: 57.60%, D: 42.40% | Est. Population: 1024
C: 59.68%, D: 40.32% | Est. Population: 1024
C: 58.60%, D: 41.40% | Est. Population: 1024
C: 60.24%, D: 39.76% | Est. Population: 1024
C: 60.60%, D: 39.40% | Est. Population: 1024
C: 61.00%, D: 39.00% | Est. Population: 1024
C: 61.40%, D: 38.60% | Est. Population: 1024
C: 61.72%, D: 38.28% | Est. Population: 1024
C: 62.12%, D: 37.88% | Est. Population: 1024
C: 62.52%, D: 37.48% | Est. Population: 1024
C: 62.56%, D: 37.44% | Est. Population: 1024
C: 62.72%, D: 37.28% | Est. Population: 1024
C: 63.08%, D: 36.92% | Est. Population: 1024
C: 63.68%, D: 36.32% | Est. Population: 1024
C: 63.68%, D: 36.32% | Est. Population: 1024
C: 63.52%, D: 36.48% | Est. Population: 1024
C: 63.68%, D: 36.32% | Est. Population: 1024
C: 63.68%, D: 36.32% | Est. Population: 1024
C: 63.88%, D: 36.12% | Est. Population: 1024
C: 63.80%, D: 36.20% | Est. Population: 1024
C: 63.72%, D: 36.28% | Est. Population: 1024
C: 63.80%, D: 36.20% | Est. Population: 1024
C: 64.28%, D: 35.72% | Est. Population: 1024
C: 64.12%, D: 35.88% | Est. Population: 1024
C: 64.60%, D: 35.40% | Est. Population: 1024
C: 65.00%, D: 35.00% | Est. Population: 1024
C: 65.12%, D: 34.88% | Est. Population: 1024
C: 65.24%, D: 34.76% | Est. Population: 1024
C: 65.28%, D: 34.72% | Est. Population: 1024
C: 64.76%, D: 35.24% | Est. Population: 1024
C: 64.80%, D: 35.20% | Est. Population: 1024
C: 64.04%, D: 35.96% | Est. Population: 1024
C: 64.08%, D: 35.92% | Est. Population: 1024
C: 64.08%, D: 35.92% | Est. Population: 1024
C: 64.08%, D: 35.92% | Est. Population: 1024
C: 64.04%, D: 35.96% | Est. Population: 1024
C: 64.00%, D: 36.00% | Est. Population: 1024
C: 63.08%, D: 36.92% | Est. Population: 1024
C: 63.12%, D: 36.88% | Est. Population: 1024
C: 63.60%, D: 36.40% | Est. Population: 1024
C: 64.04%, D: 35.96% | Est. Population: 1024
C: 64.04%, D: 35.96% | Est. Population: 1024
C: 64.12%, D: 35.88% | Est. Population: 1024
C: 63.32%, D: 36.68% | Est. Population: 1024
C: 63.52%, D: 36.48% | Est. Population: 1024
C: 63.44%, D: 36.56% | Est. Population: 1024
C: 63.68%, D: 36.32% | Est. Population: 1024
C: 64.12%, D: 35.88% | Est. Population: 1024
C: 63.64%, D: 36.36% | Est. Population: 1024
C: 64.48%, D: 35.52% | Est. Population: 1024
C: 64.52%, D: 35.48% | Est. Population: 1024
C: 64.92%, D: 35.08% | Est. Population: 1024
C: 65.04%, D: 34.96% | Est. Population: 1024
C: 65.12%, D: 34.88% | Est. Population: 1024
C: 65.24%, D: 34.76% | Est. Population: 1024
C: 65.00%, D: 35.00% | Est. Population: 1024
C: 64.92%, D: 35.08% | Est. Population: 1024
C: 65.88%, D: 34.12% | Est. Population: 1024
