
1 threadCount:
C: 54.00%, D: 46.00% | Est. Population: 1024
C: 55.00%, D: 45.00% | Est. Population: 1024
C: 56.00%, D: 44.00% | Est. Population: 1024
C: 57.20%, D: 42.80% | Est. Population: 1024
C: 57.88%, D: 42.12% | Est. Population: 1024
C: 58.60%, D: 41.40% | Est. Population: 1024
C: 59.12%, D: 40.88% | Est. Population: 1024
C: 60.00%, D: 40.00% | Est. Population: 1024
C: 60.60%, D: 39.40% | Est. Population: 1024
C: 60.96%, D: 39.04% | Est. Population: 1024
C: 61.52%, D: 38.48% | Est. Population: 1024
C: 62.28%, D: 37.72% | Est. Population: 1024
C: 62.32%, D: 37.68% | Est. Population: 1024
C: 62.16%, D: 37.84% | Est. Population: 1024
C: 62.68%, D: 37.32% | Est. Population: 1024
C: 62.88%, D: 37.12% | Est. Population: 1024
C: 62.92%, D: 37.08% | Est. Population: 1024
C: 63.28%, D: 36.72% | Est. Population: 1024
C: 63.52%, D: 36.48% | Est. Population: 1024
C: 63.84%, D: 36.16% | Est. Population: 1024
C: 63.68%, D: 36.32% | Est. Population: 1024
C: 64.04%, D: 35.96% | Est. Population: 1024
C: 64.04%, D: 35.96% | Est. Population: 1024
C: 63.84%, D: 36.16% | Est. Population: 1024
C: 63.96%, D: 36.04% | Est. Population: 1024
C: 64.16%, D: 35.84% | Est. Population: 1024
C: 64.44%, D: 35.56% | Est. Population: 1024
C: 64.04%, D: 35.96% | Est. Population: 1024
C: 64.00%, D: 36.00% | Est. Population: 1024
C: 64.16%, D: 35.84% | Est. Population: 1024
C: 64.76%, D: 35.24% | Est. Population: 1024
C: 64.84%, D: 35.16% | Est. Population: 1024
C: 64.36%, D: 35.64% | Est. Population: 1024
C: 64.52%, D: 35.48% | Est. Population: 1024
C: 64.68%, D: 35.32% | Est. Population: 1024
C: 64.40%, D: 35.60% | Est. Population: 1024
C: 64.48%, D: 35.52% | Est. Population: 1024
C: 64.84%, D: 35.16% | Est. Population: 1024
C: 65.24%, D: 34.76% | Est. Population: 1024
C: 64.84%, D: 35.16% | Est. Population: 1024
C: 65.12%, D: 34.88% | Est. Population: 1024
C: 65.04%, D: 34.96% | Est. Population: 1024
C: 64.88%, D: 35.12% | Est. Population: 1024
C: 64.40%, D: 35.60% | Est. Population: 1024
C: 64.40%, D: 35.60% | Est. Population: 1024
C: 64.08%, D: 35.92% | Est. Population: 1024
C: 64.16%, D: 35.84% | Est. Population: 1024
C: 64.20%, D: 35.80% | Est. Population: 1024
C: 63.96%, D: 36.04% | Est. Population: 1024
C: 64.16%, D: 35.84% | Est. Population: 1024
C: 64.44%, D: 35.56% | Est. Population: 1024
C: 64.32%, D: 35.68% | Est. Population: 1024
C: 64.40%, D: 35.60% | Est. Population: 1024
C: 64.04%, D: 35.96% | Est. Population: 1024
C: 64.24%, D: 35.76% | Est. Population: 1024
C: 63.84%, D: 36.16% | Est. Population: 1024
C: 63.80%, D: 36.20% | Est. Population: 1024
C: 64.28%, D: 35.72% | Est. Population: 1024
C: 64.48%, D: 35.52% | Est. Population: 1024
